quaternions_10	quaternions_11	quaternions_12	quaternions_13	angle_10	angle_11	angle_12	rotacc_1	speed	id	pos_x	pos_y	normalized_x	normalized_y	orientation_x	orientation_y	speed1	tracking	Pharusbin	Gyroid	comp_index	SOUND1	SOUND2	SOUND3	SOUND4	SOUND5	SOUND6	SOUND7	SOUND8
0.810561	0.41985765	0.013756609	0.40787137	0.125697	0.4480937	0.62339514	0.014396601	0.014396601	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8046875	0	0	0	0	0	0	0
0.8108938	0.41917607	0.01343127	0.4078685	0.12569214	0.44809312	0.62315327	0.014395142	0.014395142	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.81124365	0.41848168	0.013117639	0.4078464	0.1256824	0.44809946	0.62290925	0.01439117	0.01439117	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.811596	0.4177884	0.01279939	0.40782058	0.12567113	0.44810542	0.6226644	0.014391957	0.014391957	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.811943	0.41708982	0.012486395	0.40780845	0.12566525	0.44811153	0.6224167	0.014391234	0.014391233	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.8122811	0.41639212	0.012164987	0.40781188	0.12566404	0.44811386	0.62216634	0.014392931	0.014392929	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.8125964	0.41571876	0.011832835	0.4078364	0.12566851	0.44810885	0.6219192	0.014397924	0.014397922	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.8129081	0.415037	0.011487894	0.40787387	0.12567683	0.4481004	0.6216665	0.014402772	0.01440277	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.8132071	0.4143797	0.011167491	0.40791568	0.125688	0.44809476	0.62142134	0.014396315	0.014396314	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.8135026	0.4137616	0.010875528	0.407937	0.12569338	0.44809496	0.6211897	0.014393138	0.014393136	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.81378746	0.41318482	0.010613483	0.40794736	0.12569624	0.44809917	0.62097216	0.014396505	0.014396504	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.8140176	0.41272697	0.010402338	0.40796256	0.12570113	0.44810295	0.62079185	0.014400162	0.01440016	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.80859375	0	0	0	0	0	0	0
0.8141967	0.41236877	0.010243866	0.40798855	0.12571076	0.4481074	0.62064415	0.014405491	0.014405489	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.8143362	0.4120992	0.010104049	0.40801418	0.12571886	0.44810727	0.6205241	0.014411477	0.0144114755	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
